group_id,canonical_entity,raw_text
G001,ACME INVESTMENTS LTD,A cme Investments Ltd ZURICH CHE
G001,ACME INVESTMENTS LTD,Acme Investments Ltd
G016,GLOBAL HOLDINGS LTD,GLOBAL HOLDINGS LTD ZURICH CHE
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD LOS ANGELES CA 90210
G008,NORTH SEA SHIPPING BV,NORTH SEA SHIPPING BV
G007,GLOBAL METALS SA,GLOBAL METALS SA SINGAPORE SGP
G001,ACME INVESTMENTS LTD,Acme Investments Ltd NEW YORK NY 10003
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD
G007,GLOBAL METALS SA,GLOBAL METALS SA ZURICH CHE
G003,ACME TRADING LTD,ACME TRADING LTD
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD ROAD TOWN TORTOLA VG
G003,ACME TRADING LTD,ACME TRADING LTD ZURICH CHE
G003,ACME TRADING LTD,A CME TRA DING LTD
G011,ALPHA TRUST FBO JANE DOE,ALPHA TRUST FBO JANE DOE LOS ANGELES CA 90210
G005,TYCHO FEEDER FUND INC,TYCHO FEEDER FUND INC NEW YORK NY 10003
G008,NORTH SEA SHIPPING BV,NORTH SEA SHIPPING BV NEW YORK NY 10003
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD SINGAPORE SGP
G016,GLOBAL HOLDINGS LTD,Global Holdings Ltd LONDON UNITED KINGDOM
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD
G003,ACME TRADING LTD,A cme Trading Ltd
G009,HARBOR ADVISORS LP,HARBOR ADVISORS LP
G008,NORTH SEA SHIPPING BV,North Sea Shipping Bv LOS ANGELES CA 90210
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD
G005,TYCHO FEEDER FUND INC,TYCHO FEEDER FUND INC LONDON UNITED KINGDOM
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD LOS ANGELES CA 90210
G005,TYCHO FEEDER FUND INC,Tycho Feeder Fund Inc NEW YORK NY 10003
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD
G004,ACME TRUST INC,ACME TRUST INC
G003,ACME TRADING LTD,ACME TRADING LTD ROAD TOWN TORTOLA VG
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD SINGAPORE SGP
G007,GLOBAL METALS SA,GLOBA L META LS SA LOS ANGELES CA 90210
G004,ACME TRUST INC,Acme Trust Inc
G019,EASTERN MERCHANTS PTE LTD,EASTERN MERCHANTS PTE LTD NEW YORK NY 10003
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD LOS ANGELES CA 90210
G008,NORTH SEA SHIPPING BV,North Sea Shipping Bv LOS ANGELES CA 90210
G003,ACME TRADING LTD,ACME TRADING LTD ZURICH CHE
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD NEW YORK NY 10003
G006,BANK OF CYPRUS,BANK OF CYPRUS ZURICH CHE
G003,ACME TRADING LTD,A CME TRA DING LTD
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD NEW YORK NY 10003
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD LOS ANGELES CA 90210
G012,JOHN DOE,John Doe LONDON UNITED KINGDOM
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD ROAD TOWN TORTOLA VG
G011,ALPHA TRUST FBO JANE DOE,ALPHA TRUST FBO JANE DOE ROAD TOWN TORTOLA VG
G012,JOHN DOE,JOHN DOE ZURICH CHE
G008,NORTH SEA SHIPPING BV,NORTH SEA SHIPPING BV LOS ANGELES CA 90210
G008,NORTH SEA SHIPPING BV,NORTH SEA SHIPPING BV ZURICH CHE
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD ZURICH CHE
G001,ACME INVESTMENTS LTD,Acme Investments Ltd
G018,PACIFIC TRUST INC,PACIFIC TRUST INC
G004,ACME TRUST INC,A CME TRUST INC NEW YORK NY 10003
G003,ACME TRADING LTD,ACME TRADING LTD ROAD TOWN TORTOLA VG
G012,JOHN DOE,JOHN DOE NEW YORK NY 10003
G004,ACME TRUST INC,Acme Trust Inc
G016,GLOBAL HOLDINGS LTD,GLOBA L HOLDINGS LTD SINGAPORE SGP
G019,EASTERN MERCHANTS PTE LTD,Eastern Merchants Pte Ltd SINGAPORE SGP
G008,NORTH SEA SHIPPING BV,NORTH SEA SHIPPING BV
G011,ALPHA TRUST FBO JANE DOE,ALPHA TRUST FBO JANE DOE SINGAPORE SGP
G006,BANK OF CYPRUS,BANK OF CYPRUS SINGAPORE SGP
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD ROAD TOWN TORTOLA VG
G006,BANK OF CYPRUS,BA NK OF CYPRUS LONDON UNITED KINGDOM
G006,BANK OF CYPRUS,BA NK OF CYPRUS SINGAPORE SGP
G003,ACME TRADING LTD,ACME TRADING LTD ROAD TOWN TORTOLA VG
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD SINGAPORE SGP
G011,ALPHA TRUST FBO JANE DOE,Alpha Trust Fbo Jane Doe LONDON UNITED KINGDOM
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD ZURICH CHE
G001,ACME INVESTMENTS LTD,Acme Investments Ltd LONDON UNITED KINGDOM
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD SINGAPORE SGP
G006,BANK OF CYPRUS,BANK OF CYPRUS LONDON UNITED KINGDOM
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD NEW YORK NY 10003
G009,HARBOR ADVISORS LP,HARBOR ADVISORS LP ZURICH CHE
G005,TYCHO FEEDER FUND INC,Tycho Feeder Fund Inc NEW YORK NY 10003
G006,BANK OF CYPRUS,Bank Of Cyprus
G003,ACME TRADING LTD,A CME TRA DING LTD
G007,GLOBAL METALS SA,GLOBAL METALS SA
G019,EASTERN MERCHANTS PTE LTD,EASTERN MERCHANTS PTE LTD
G001,ACME INVESTMENTS LTD,A cme Investments Ltd LONDON UNITED KINGDOM
G005,TYCHO FEEDER FUND INC,TYCHO FEEDER FUND INC SINGAPORE SGP
G003,ACME TRADING LTD,ACME TRADING LTD ZURICH CHE
G003,ACME TRADING LTD,ACME TRADING LTD ZURICH CHE
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD LONDON UNITED KINGDOM
G004,ACME TRUST INC,Acme Trust Inc ROAD TOWN TORTOLA VG
G003,ACME TRADING LTD,ACME TRADING LTD
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD LONDON UNITED KINGDOM
G004,ACME TRUST INC,Acme Trust Inc ROAD TOWN TORTOLA VG
G005,TYCHO FEEDER FUND INC,TYCHO FEEDER FUND INC LONDON UNITED KINGDOM
G019,EASTERN MERCHANTS PTE LTD,EA STERN MERCHA NTS PTE LTD
G008,NORTH SEA SHIPPING BV,NORTH SEA SHIPPING BV
G003,ACME TRADING LTD,ACME TRADING LTD LOS ANGELES CA 90210
G001,ACME INVESTMENTS LTD,A cme Investments Ltd NEW YORK NY 10003
G001,ACME INVESTMENTS LTD,Acme Investments Ltd LOS ANGELES CA 90210
G005,TYCHO FEEDER FUND INC,TYCHO FEEDER FUND INC
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD
G018,PACIFIC TRUST INC,PA CIFIC TRUST INC ZURICH CHE
G008,NORTH SEA SHIPPING BV,NORTH SEA SHIPPING BV SINGAPORE SGP
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD ROAD TOWN TORTOLA VG
G005,TYCHO FEEDER FUND INC,TYCHO FEEDER FUND INC LONDON UNITED KINGDOM
G012,JOHN DOE,John Doe ZURICH CHE
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD ROAD TOWN TORTOLA VG
G003,ACME TRADING LTD,ACME TRADING LTD
G001,ACME INVESTMENTS LTD,Acme Investments Ltd LOS ANGELES CA 90210
G008,NORTH SEA SHIPPING BV,NORTH SEA SHIPPING BV NEW YORK NY 10003
G011,ALPHA TRUST FBO JANE DOE,ALPHA TRUST FBO JANE DOE
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD LOS ANGELES CA 90210
G006,BANK OF CYPRUS,Bank Of Cyprus LOS ANGELES CA 90210
G006,BANK OF CYPRUS,BANK OF CYPRUS LOS ANGELES CA 90210
G004,ACME TRUST INC,ACME TRUST INC ROAD TOWN TORTOLA VG
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD
G004,ACME TRUST INC,A CME TRUST INC
G001,ACME INVESTMENTS LTD,Acme Investments Ltd LONDON UNITED KINGDOM
G001,ACME INVESTMENTS LTD,A cme Investments Ltd ROAD TOWN TORTOLA VG
G006,BANK OF CYPRUS,BA NK OF CYPRUS
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD
G004,ACME TRUST INC,A CME TRUST INC LONDON UNITED KINGDOM
G005,TYCHO FEEDER FUND INC,Tycho Feeder Fund Inc ROAD TOWN TORTOLA VG
G008,NORTH SEA SHIPPING BV,NORTH SEA SHIPPING BV
G003,ACME TRADING LTD,ACME TRADING LTD SINGAPORE SGP
G006,BANK OF CYPRUS,Bank Of Cyprus
G001,ACME INVESTMENTS LTD,Acme Investments Ltd LOS ANGELES CA 90210
G011,ALPHA TRUST FBO JANE DOE,Alpha Trust Fbo Jane Doe
G001,ACME INVESTMENTS LTD,Acme Investments Ltd
G007,GLOBAL METALS SA,GLOBAL METALS SA LOS ANGELES CA 90210
G001,ACME INVESTMENTS LTD,A cme Investments Ltd LOS ANGELES CA 90210
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD
G001,ACME INVESTMENTS LTD,Acme Investments Ltd ZURICH CHE
G008,NORTH SEA SHIPPING BV,NORTH SEA SHIPPING BV SINGAPORE SGP
G003,ACME TRADING LTD,ACME TRADING LTD ZURICH CHE
G001,ACME INVESTMENTS LTD,Acme Investments Ltd
G012,JOHN DOE,JOHN DOE
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD NEW YORK NY 10003
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD
G004,ACME TRUST INC,Acme Trust Inc NEW YORK NY 10003
G004,ACME TRUST INC,ACME TRUST INC
